Date,MIXFOG04,MIXFOG05,MIXFOG06,VTFOG06,VTFOG07,VTFOG08,MIXFOG09
01/01/2025,0,0,0,0,0,0,0
02/01/2025,0,0,0,0,0,0,0
03/01/2025,0,0,0,0,0,0,0
04/01/2025,0,0,0,0,0,0,0
05/01/2025,0,0,0,0,0,0,0
06/01/2025,15,15,0,15,15,15,15
07/01/2025,24,24,0,24,24,24,24
08/01/2025,24,24,0,24,24,24,24
09/01/2025,24,24,0,24,24,24,24
10/01/2025,24,24,0,24,24,24,24
11/01/2025,11,11,0,11,11,11,11
12/01/2025,0,0,0,0,0,0,0
13/01/2025,15,15,0,15,15,15,15
14/01/2025,24,24,0,24,24,24,24
15/01/2025,24,24,0,24,24,24,24
16/01/2025,24,24,0,24,24,24,24
17/01/2025,24,24,0,24,24,24,24
18/01/2025,11,11,0,11,11,11,11
19/01/2025,0,0,0,0,0,0,0
20/01/2025,0,0,0,0,0,0,0
21/01/2025,15,15,0,15,15,15,15
22/01/2025,24,24,0,24,24,24,24
23/01/2025,24,24,0,24,24,24,24
24/01/2025,24,24,0,24,24,24,24
25/01/2025,11,11,0,11,11,11,11
26/01/2025,0,0,0,0,0,0,0
27/01/2025,15,15,0,15,15,15,15
28/01/2025,24,24,0,24,24,24,24
29/01/2025,24,24,0,24,24,24,24
30/01/2025,24,24,0,24,24,24,24
31/01/2025,24,24,0,24,24,24,24
01/02/2025,11,11,0,11,11,11,11
02/02/2025,0,0,0,0,0,0,0
03/02/2025,15,15,0,15,15,15,15
04/02/2025,24,24,0,24,24,24,24
05/02/2025,24,24,0,24,24,24,24
06/02/2025,24,24,0,24,24,24,24
07/02/2025,24,24,0,24,24,24,24
08/02/2025,5,5,0,5,5,5,5
09/02/2025,0,0,0,0,0,0,0
10/02/2025,15,15,0,15,15,15,15
11/02/2025,24,24,0,24,24,24,24
12/02/2025,24,24,0,24,24,24,24
13/02/2025,24,24,0,24,24,24,24
14/02/2025,24,24,0,24,24,24,24
15/02/2025,5,5,0,5,5,5,5
16/02/2025,0,0,0,0,0,0,0
17/02/2025,15,15,0,15,15,15,15
18/02/2025,24,24,0,24,24,24,24
19/02/2025,24,24,0,24,24,24,24
20/02/2025,24,24,0,24,24,24,24
21/02/2025,24,24,0,24,24,24,24
22/02/2025,5,5,0,5,5,5,5
23/02/2025,0,0,0,0,0,0,0
24/02/2025,15,15,0,15,15,15,15
25/02/2025,24,24,0,24,24,24,24
26/02/2025,24,24,0,24,24,24,24
27/02/2025,24,24,0,24,24,24,24
28/02/2025,24,24,0,24,24,24,24
01/03/2025,5,5,0,5,5,5,5
02/03/2025,0,0,0,0,0,0,0
03/03/2025,0,0,0,0,0,0,0
04/03/2025,0,0,0,0,0,0,0
05/03/2025,15,15,0,15,15,15,15
06/03/2025,24,24,0,24,24,24,24
07/03/2025,24,24,0,24,24,24,24
08/03/2025,11,11,0,11,11,11,11
09/03/2025,0,0,0,0,0,0,0
10/03/2025,15,15,0,15,15,15,15
11/03/2025,24,24,0,24,24,24,24
12/03/2025,24,24,0,24,24,24,24
13/03/2025,24,24,0,24,24,24,24
14/03/2025,24,24,0,24,24,24,24
15/03/2025,11,11,0,11,11,11,11
16/03/2025,0,0,0,0,0,0,0
17/03/2025,15,15,0,15,15,15,15
18/03/2025,24,24,0,24,24,24,24
19/03/2025,24,24,0,24,24,24,24
20/03/2025,24,24,0,24,24,24,24
21/03/2025,24,24,0,24,24,24,24
22/03/2025,11,11,0,11,11,11,11
23/03/2025,0,0,0,0,0,0,0
24/03/2025,15,15,0,15,15,15,15
25/03/2025,24,24,0,24,24,24,24
26/03/2025,24,24,0,24,24,24,24
27/03/2025,24,24,0,24,24,24,24
28/03/2025,24,24,0,24,24,24,24
29/03/2025,11,11,0,11,11,11,11
30/03/2025,0,0,0,0,0,0,0
31/03/2025,0,0,0,0,0,0,0
01/04/2025,15,15,24,15,15,15,15
02/04/2025,24,24,24,24,24,24,24
03/04/2025,24,24,24,24,24,24,24
04/04/2025,24,24,11,24,24,24,24
05/04/2025,13,13,0,13,13,13,13
06/04/2025,0,0,0,0,0,0,0
07/04/2025,15,15,15,15,15,15,15
08/04/2025,24,24,24,24,24,24,24
09/04/2025,24,24,24,24,24,24,24
10/04/2025,24,24,24,24,24,24,24
11/04/2025,24,24,13,24,24,24,24
